"pathway","description","log2FC","p_adj","sig","direction"
"PWY-5655","L-tryptophan degradation IX",-0.743616454040505,0.0379635668771667,"*","GCtS_higher"
"GLYCOCAT-PWY","glycogen degradation I (bacterial)",-0.747950340721066,0.00409835747701043,"**","GCtS_higher"
"DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis I",-0.75098576565759,0.00621683776141264,"**","GCtS_higher"
"PWY-6562","norspermidine biosynthesis",-0.751130561027398,0.0451047954597153,"*","GCtS_higher"
"PWY-6210","2-aminophenol degradation",-0.757302154412852,0.0412024825313464,"*","GCtS_higher"
"PWY0-1296","purine ribonucleosides degradation",-0.76538801758766,0.00488265934042561,"**","GCtS_higher"
"PWY-6396","superpathway of 2,3-butanediol biosynthesis",-0.766893950310399,0.0134991796657301,"*","GCtS_higher"
"PWY-7761",NA,-0.78324521694602,0.00429518552006937,"**","GCtS_higher"
"PPGPPMET-PWY","ppGpp biosynthesis",-0.784370614241849,0.00702510604120035,"**","GCtS_higher"
"PWY-5028","L-histidine degradation II",-0.789133607122057,0.014600693637465,"*","GCtS_higher"
"PWY-1622","formaldehyde assimilation I (serine pathway)",-0.79085342970852,0.0102325292968158,"*","GCtS_higher"
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast",-0.791458800395919,0.0116429906016982,"*","GCtS_higher"
"PWY-7237","myo-, chiro- and scillo-inositol degradation",-0.793754394088752,0.00464406029371475,"**","GCtS_higher"
"PYRIDNUCSAL-PWY","NAD salvage pathway I",-0.799693788289514,0.00401882711436447,"**","GCtS_higher"
"SO4ASSIM-PWY","sulfate reduction I (assimilatory)",-0.799735560574154,0.00357308266656918,"**","GCtS_higher"
"PWY-7052","cyanophycin metabolism",-0.805087877369911,0.00764096425329104,"**","GCtS_higher"
"PWY-6338","superpathway of vanillin and vanillate degradation",-0.809630072066679,0.0183652600474233,"*","GCtS_higher"
"PWY-7097","vanillin and vanillate degradation I",-0.809630072066679,0.0183652600474233,"*","GCtS_higher"
"PWY0-1261","anhydromuropeptides recycling",-0.809644084768462,0.00707249984727612,"**","GCtS_higher"
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation",-0.815958795840724,0.0161512530988629,"*","GCtS_higher"
"PWY-6084","3,5-dichlorocatechol degradation",-0.815958795840724,0.0161512530988629,"*","GCtS_higher"
"PWY-7900",NA,-0.821385619011134,0.00885708305436277,"**","GCtS_higher"
