"site1","site2","p_adj","family","sig"
"Udder","Neck",0.00912815648977767,"Lachnospiraceae","**"
"Udder","Pectoral area",0.0410258527021965,"Lachnospiraceae","*"
"Ventral abdomen","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Ventral abdomen","Environment",0.412383391317106,"Lachnospiraceae","ns"
"Ventral abdomen","Forehead",0.00138620117532529,"Lachnospiraceae","**"
"Ventral abdomen","Left front pastern",0.00171965422424485,"Lachnospiraceae","**"
"Ventral abdomen","Muzzle",0.00193759247747284,"Lachnospiraceae","**"
"Ventral abdomen","Neck",0.00126620348308862,"Lachnospiraceae","**"
"Ventral abdomen","Pectoral area",0.0040618243292776,"Lachnospiraceae","**"
"Ventral abdomen","Udder",0.137928666678108,"Lachnospiraceae","ns"
"Environment","Dorsum",1,"Brevibacteriaceae","ns"
"Forehead","Dorsum",0.000545560312168236,"Brevibacteriaceae","***"
"Forehead","Environment",0.295934699569592,"Brevibacteriaceae","ns"
"Left front pastern","Dorsum",0.000545560312168236,"Brevibacteriaceae","***"
"Left front pastern","Environment",0.295934699569592,"Brevibacteriaceae","ns"
"Left front pastern","Forehead",1,"Brevibacteriaceae","ns"
"Muzzle","Dorsum",0.000402069205322867,"Brevibacteriaceae","***"
"Muzzle","Environment",0.254841954039439,"Brevibacteriaceae","ns"
"Muzzle","Forehead",0.00110792804770254,"Brevibacteriaceae","**"
"Muzzle","Left front pastern",0.00883693845159916,"Brevibacteriaceae","**"
"Neck","Dorsum",0.0202095278026215,"Brevibacteriaceae","*"
"Neck","Environment",0.463390157833315,"Brevibacteriaceae","ns"
"Neck","Forehead",0.379277919240124,"Brevibacteriaceae","ns"
"Neck","Left front pastern",0.332693480642615,"Brevibacteriaceae","ns"
"Neck","Muzzle",0.0011592894389908,"Brevibacteriaceae","**"
"Pectoral area","Dorsum",0.00826633736464794,"Brevibacteriaceae","**"
"Pectoral area","Environment",0.403125433581595,"Brevibacteriaceae","ns"
"Pectoral area","Forehead",0.209913933343414,"Brevibacteriaceae","ns"
"Pectoral area","Left front pastern",0.385086367641351,"Brevibacteriaceae","ns"
"Pectoral area","Muzzle",0.000976844465817647,"Brevibacteriaceae","***"
"Pectoral area","Neck",1,"Brevibacteriaceae","ns"
"Udder","Dorsum",0.096928482153265,"Brevibacteriaceae","ns"
"Udder","Environment",0.610004927548416,"Brevibacteriaceae","ns"
"Udder","Forehead",0.029395504706699,"Brevibacteriaceae","*"
"Udder","Left front pastern",0.032390672666337,"Brevibacteriaceae","*"
"Udder","Muzzle",0.000773434776219926,"Brevibacteriaceae","***"
"Udder","Neck",0.379277919240124,"Brevibacteriaceae","ns"
"Udder","Pectoral area",0.332693480642615,"Brevibacteriaceae","ns"
"Ventral abdomen","Dorsum",0.35681304102996,"Brevibacteriaceae","ns"
"Ventral abdomen","Environment",0.783006184739797,"Brevibacteriaceae","ns"
"Ventral abdomen","Forehead",0.000773434776219926,"Brevibacteriaceae","***"
"Ventral abdomen","Left front pastern",0.00116570572115156,"Brevibacteriaceae","**"
"Ventral abdomen","Muzzle",0.000402069205322867,"Brevibacteriaceae","***"
"Ventral abdomen","Neck",0.0707275230023184,"Brevibacteriaceae","ns"
"Ventral abdomen","Pectoral area",0.0346564678840011,"Brevibacteriaceae","*"
"Ventral abdomen","Udder",0.37527338451626,"Brevibacteriaceae","ns"
"Environment","Dorsum",0.738262974183237,"Saccharimonadaceae","ns"
"Forehead","Dorsum",0.000201034602660854,"Saccharimonadaceae","***"
"Forehead","Environment",0.221601699164729,"Saccharimonadaceae","ns"
"Left front pastern","Dorsum",0.000201034602660854,"Saccharimonadaceae","***"
"Left front pastern","Environment",0.221601699164729,"Saccharimonadaceae","ns"
"Left front pastern","Forehead",0.212875953518774,"Saccharimonadaceae","ns"
"Muzzle","Dorsum",0.000201034602660854,"Saccharimonadaceae","***"
"Muzzle","Environment",0.221601699164729,"Saccharimonadaceae","ns"
"Muzzle","Forehead",0.404557454513696,"Saccharimonadaceae","ns"
"Muzzle","Left front pastern",0.395742906073109,"Saccharimonadaceae","ns"
"Neck","Dorsum",0.000752872821344397,"Saccharimonadaceae","***"
"Neck","Environment",0.250406284251193,"Saccharimonadaceae","ns"
"Neck","Forehead",0.00266418965652492,"Saccharimonadaceae","**"
"Neck","Left front pastern",0.00126620348308855,"Saccharimonadaceae","**"
"Neck","Muzzle",0.00398224146269061,"Saccharimonadaceae","**"
"Pectoral area","Dorsum",0.000752872821344397,"Saccharimonadaceae","***"
"Pectoral area","Environment",0.250406284251193,"Saccharimonadaceae","ns"
"Pectoral area","Forehead",0.0106495159047407,"Saccharimonadaceae","*"
"Pectoral area","Left front pastern",0.0029259279672569,"Saccharimonadaceae","**"
"Pectoral area","Muzzle",0.0118101182234692,"Saccharimonadaceae","*"
"Pectoral area","Neck",0.409100785900132,"Saccharimonadaceae","ns"
"Udder","Dorsum",0.00818512397127909,"Saccharimonadaceae","**"
"Udder","Environment",0.357875185180006,"Saccharimonadaceae","ns"
"Udder","Forehead",0.120756270527494,"Saccharimonadaceae","ns"
"Udder","Left front pastern",0.0130357433111398,"Saccharimonadaceae","*"
"Udder","Muzzle",0.0539008888667551,"Saccharimonadaceae","ns"
"Udder","Neck",0.398883183201884,"Saccharimonadaceae","ns"
"Udder","Pectoral area",0.816970045539416,"Saccharimonadaceae","ns"
"Ventral abdomen","Dorsum",0.000201034602660854,"Saccharimonadaceae","***"
"Ventral abdomen","Environment",0.221601699164729,"Saccharimonadaceae","ns"
"Ventral abdomen","Forehead",0.374785706011459,"Saccharimonadaceae","ns"
"Ventral abdomen","Left front pastern",0.0982304328311971,"Saccharimonadaceae","ns"
"Ventral abdomen","Muzzle",0.258574469709881,"Saccharimonadaceae","ns"
"Ventral abdomen","Neck",0.0789505112116077,"Saccharimonadaceae","ns"
"Ventral abdomen","Pectoral area",0.250406284251193,"Saccharimonadaceae","ns"
"Ventral abdomen","Udder",0.374785706011459,"Saccharimonadaceae","ns"
"Environment","Dorsum",0.681145935600343,"Hungateiclostridiaceae","ns"
"Forehead","Dorsum",0.000234386600478365,"Hungateiclostridiaceae","***"
"Forehead","Environment",0.212368295032866,"Hungateiclostridiaceae","ns"
"Left front pastern","Dorsum",0.000234386600478365,"Hungateiclostridiaceae","***"
"Left front pastern","Environment",0.212368295032866,"Hungateiclostridiaceae","ns"
"Left front pastern","Forehead",0.000584074053883388,"Hungateiclostridiaceae","***"
