"family","fpr","tpr","threshold"
"Hungateiclostridiaceae",0.375,0.958333333333333,0.00538947410260362
"Hungateiclostridiaceae",0.354166666666667,0.958333333333333,0.0051507169267417
"Hungateiclostridiaceae",0.333333333333333,0.958333333333333,0.00459156090937534
"Hungateiclostridiaceae",0.3125,0.958333333333333,0.00420383232706075
"Hungateiclostridiaceae",0.3125,0.9375,0.00397736887565352
"Hungateiclostridiaceae",0.3125,0.916666666666667,0.00368869184904282
"Hungateiclostridiaceae",0.3125,0.895833333333333,0.00357399642044526
"Hungateiclostridiaceae",0.291666666666667,0.895833333333333,0.00356658880560922
"Hungateiclostridiaceae",0.291666666666667,0.875,0.00340685258338753
"Hungateiclostridiaceae",0.291666666666667,0.854166666666667,0.0032515596546705
"Hungateiclostridiaceae",0.291666666666667,0.833333333333333,0.00323577158630678
"Hungateiclostridiaceae",0.291666666666667,0.8125,0.00317458354630042
"Hungateiclostridiaceae",0.291666666666667,0.791666666666667,0.00309167677982173
"Hungateiclostridiaceae",0.270833333333333,0.791666666666667,0.003010564304528
"Hungateiclostridiaceae",0.270833333333333,0.770833333333333,0.00284837555506963
"Hungateiclostridiaceae",0.25,0.770833333333333,0.00267291678609134
"Hungateiclostridiaceae",0.25,0.75,0.00247360281228996
"Hungateiclostridiaceae",0.229166666666667,0.75,0.00224558335919527
"Hungateiclostridiaceae",0.208333333333333,0.75,0.00212928484141719
"Hungateiclostridiaceae",0.1875,0.75,0.00209199790729501
"Hungateiclostridiaceae",0.1875,0.729166666666667,0.00205934910922185
"Hungateiclostridiaceae",0.1875,0.708333333333333,0.00200286464550012
"Hungateiclostridiaceae",0.1875,0.6875,0.00187110334949174
"Hungateiclostridiaceae",0.1875,0.666666666666667,0.00174261488949349
"Hungateiclostridiaceae",0.1875,0.645833333333333,0.00170488466007814
"Hungateiclostridiaceae",0.166666666666667,0.645833333333333,0.00168766240260812
"Hungateiclostridiaceae",0.166666666666667,0.625,0.00164757559615817
