"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY-5973",14005.8331280243,14323.1688625303,0.0323229064781384,1140,0.933158562113712,0.967189296624577,"ns","EtS_higher"
"PWY-7208",14242.9313902503,14805.2059588055,0.0558584570825608,1140,0.933158562113712,0.967189296624577,"ns","EtS_higher"
"PWY-6151",11096.2478049502,11322.3776258858,0.0291050347273105,1163,0.938959079116215,0.971336978396084,"ns","EtS_higher"
"PWY-6700",9118.56290115025,9792.18751854253,0.102824714176148,1161,0.950569439154678,0.981467489758176,"ns","EtS_higher"
"COA-PWY-1",15513.8235471985,15873.7283209033,0.0330867212881633,1144,0.956378673316949,0.983703778268862,"ns","EtS_higher"
"PWY-7913",911.294051665454,958.357963327945,0.0726479777096641,1160,0.956378673316949,0.983703778268862,"ns","EtS_higher"
"1CMET2-PWY",14519.6282931804,14412.290964247,-0.0107048371911499,1158,0.9680037246309,0.991882374384604,"ns","GCtS_higher"
"PWY66-373",59.8131488690957,53.2649853372019,-0.16727520648903,1146,0.966439333613411,0.991882374384604,"ns","GCtS_higher"
"PWY-5188",14228.1995856393,14588.3317212787,0.0360617933102555,1147,0.973818930618277,0.995951179041419,"ns","EtS_higher"
"M-CRESOL-DEGRADATION-PWY",0.0374972471772097,0.061971156001973,0.724812179726904,1175,1,1,"ns","EtS_higher"
"PWY-5109",0,0.515712809276786,28.9419926415436,1128,1,1,"ns","EtS_higher"
"PWY-5427",0,0.0309832192743977,24.8849837641963,1128,1,1,"ns","EtS_higher"
"PWY-6328",0.774787759320673,0,-29.5292259223016,1176,1,1,"ns","GCtS_higher"
"PWY-6956",0,0.0618736245586277,25.8828212370705,1128,1,1,"ns","EtS_higher"
"PWY-7128",1.94398467446359,1.08813307679098,-0.83716183833616,1152.5,0.999999999999999,1,"ns","GCtS_higher"
"PWY-7198",0.361525852288086,0,-28.4295235793786,1176,1,1,"ns","GCtS_higher"
"PWY-7220",16170.161902191,16379.7035361572,0.0185751214800537,1151,0.997090481365711,1,"ns","EtS_higher"
"PWY-7222",16170.161902191,16379.7035361572,0.0185751214800537,1151,0.997090481365711,1,"ns","EtS_higher"
"PWY-8055",0.0150987754077226,0,-23.8479283036932,1176,1,1,"ns","GCtS_higher"
"PWY-8181",0,0.138452554374259,27.0448164404076,1128,1,1,"ns","EtS_higher"
"PWY66-374",0.140522875816993,0,-27.0662297762623,1176,1,1,"ns","GCtS_higher"
